"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","11","2","2","1","3.657080","0","2"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","11","40","40","1","152.937256","0","40"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","11","70","70","1","277.099884","0","70"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","11","70","70","1","268.650757","0","70"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","11","70","70","1","307.430786","0","70"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","11","24","24","2","46.682858","0","24"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","11","4","4","1","5.953711","0","4"
"/ControlRig/M_Manip.M_Manip","11","4","4","1","5.851280","0","4"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","11","4","4","1","5.273013","0","4"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","11","2","2","1","3.272377","0","2"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","11","4","4","1","13.432940","0","4"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","11","77","77","1","276.467224","0","77"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","11","26","26","6","48.727028","0","28"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","11","10","10","1","36.618370","0","10"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","11","6","6","1","8.715511","0","6"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","11","20","20","1","79.576500","0","20"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","11","250","250","1","1110.973145","0","250"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","11","693","693","1","3237.338623","0","693"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","11","26","26","1","144.991318","0","26"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","11","4","4","1","9.656161","0","4"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","11","4","4","1","6.855079","0","4"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","11","2","2","1","4.768053","0","2"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","11","52","52","1","262.032562","0","52"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","11","112","112","1","621.658386","0","112"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","11","20","20","1","72.903847","0","20"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","11","20","20","1","86.021797","0","20"
"/Game/FirstPersonArms/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","11","52","52","1","195.720383","0","52"
"/Interchange/gltf/M_Transmission.M_Transmission","11","48","48","4","189.000763","0","48"
"/Interchange/gltf/M_Opaque.M_Opaque","11","208","208","8","752.473633","0","208"
"/Interchange/gltf/M_Unlit.M_Unlit","11","16","16","2","23.999664","0","16"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","11","10","10","1","48.582588","0","10"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","11","20","20","1","93.961235","0","20"
"/Interchange/Materials/SheenMaterial.SheenMaterial","11","20","20","1","85.987358","0","20"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","11","20","20","1","81.367355","0","20"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","11","20","20","1","88.668091","0","20"
"/Interchange/gltf/M_Sheen.M_Sheen","11","104","104","4","391.383057","0","104"
"/Interchange/gltf/M_Translucent.M_Translucent","11","80","80","8","331.460083","0","80"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","11","2","2","1","7.896165","0","3"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","11","150","4","3","698.750854","0","1647"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","11","2","2","1","4.017001","0","3"
"/Game/FPWeapon/Materials/M_FPGun.M_FPGun","11","52","2","1","221.005768","0","357"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","11","40","1","1","181.038742","0","245"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","11","70","7","1","283.205872","0","469"
